pipeline_name,category,risk_score,total_log_rows,error_rows,error_rate_pct,start_rows,end_rows,start_end_imbalance,incremental_rows,inner_activity_rows,subject_types_count
plSilverToGoldChild,gold_transform_orchestration,1614.06,418710,1059,0.253,209381,208270,1111,1756,397918,5
plBronzeToSilver,silver_transform_orchestration,1015.81,685150,620,0.09,342609,341921,688,64,653797,5
plSourceToBronzeSecureFileSystemClueAll,bronze_ingestion_or_processing,1009.0,12,6,50.0,6,0,6,0,0,2
plMdwToPbiParentWebAppRLSTables,serving_or_application_integration,778.7,158,55,34.81,79,24,55,0,148,4
plMdwToPbiChildWebAppRLSTables,serving_or_application_integration,709.89,144,46,31.944,74,24,50,0,0,3
plSilverToGoldParent,gold_transform_orchestration,588.84,26295,228,0.867,13327,12740,587,0,20239,4
plSourceToBronzeAsqlInEight,bronze_ingestion_or_processing,387.57,203838,211,0.104,101938,101689,249,0,201589,5
plSourceToBronzeSql,bronze_ingestion_or_processing,377.49,99181,198,0.2,49617,49366,251,0,91899,5
plSourceToBronzeSqlCosential,bronze_ingestion_or_processing,369.14,102099,186,0.182,51086,50827,259,0,99970,5
plSourceToBronzeSqlE1,bronze_ingestion_or_processing,319.53,76906,155,0.202,38486,38265,221,0,72874,5
plSourceToBronzeRestApiCosetial,bronze_ingestion_or_processing,282.48,11276,107,0.949,5691,5478,213,0,9090,5
plSourceToBronzeAsqlQdr,bronze_ingestion_or_processing,265.12,49783,140,0.281,24891,24752,139,0,48006,5
plSourceToBronzeSqlDEstimator,bronze_ingestion_or_processing,204.67,19304,74,0.383,9688,9542,146,0,17540,5
plSourceToBronzeAsql,bronze_ingestion_or_processing,184.38,21323,84,0.394,10662,10577,85,0,19535,5
plSourceToBronzeRestApiPbi,bronze_ingestion_or_processing,142.23,6207,69,1.112,3120,3018,102,0,4379,5
plSourceToBronzeSharepoint,bronze_ingestion_or_processing,138.49,18360,55,0.3,9180,9125,55,0,16171,5
plSourceToGold,gold_transform_orchestration,114.78,1791,41,2.289,903,847,56,0,0,3
plSourceToGoldIneight,gold_transform_orchestration,91.65,437,15,3.432,219,203,16,0,0,3
plSourceToBronzeSoapApiB2G,bronze_ingestion_or_processing,59.25,2880,27,0.938,1440,1413,27,0,2088,5
plSourceToBronzeRestApiScheduleValidator,bronze_ingestion_or_processing,50.18,1084,15,1.384,542,527,15,0,296,5
plSourceToBronzeRestApiTeamBinder,bronze_ingestion_or_processing,45.05,4325,12,0.277,2184,2129,55,0,3527,5
plSourceToBronzeFileSystemHeavyJob,bronze_ingestion_or_processing,44.25,5027,22,0.438,2516,2489,27,0,3350,5
plBronzeToSilverFullLoad,silver_transform_orchestration,41.21,168,3,1.786,85,80,5,2,163,5
plSourceToBronzeAsqlSdatWebApp,bronze_ingestion_or_processing,40.47,5272,21,0.398,2637,2614,23,0,3493,5
plSourceToBronzeCslbLisence,bronze_ingestion_or_processing,39.02,1554,14,0.901,777,763,14,0,776,5
plSourceToBronzeRestApiAAD,bronze_ingestion_or_processing,25.8,3528,12,0.34,1765,1751,14,0,1750,5
plSourceToSilverSharepoint,silver_transform_orchestration,23.89,1732,9,0.52,866,857,9,0,0,3
plSourceToBronzeRestApiVairkko,bronze_ingestion_or_processing,23.29,676,5,0.74,339,332,7,0,452,5
plSourceToSilverSql,silver_transform_orchestration,20.98,1785,4,0.224,903,878,25,0,0,3
plSourceToGoldIneightDocument,gold_transform_orchestration,18.79,435,3,0.69,218,214,4,0,0,3
plSourceToBronzeSqlIneightDocument,bronze_ingestion_or_processing,15.05,4885,5,0.102,2448,2432,16,0,3912,5
plSourceToSilverAzureSql,silver_transform_orchestration,11.51,1774,4,0.225,888,882,6,0,0,3
plSourceToSilverRestApi,silver_transform_orchestration,10.39,1771,3,0.169,888,880,8,0,0,3
plSourceToSilverSoapApi,silver_transform_orchestration,8.05,784,1,0.128,396,387,9,0,0,3
